release_date,title,production_budget,opening_weekend,domestic_box_office,worldwide_box_office,running_time,weeks_box_office,weeks_1_box_office,opening_weekend_theaters,maximum_theaters,theatrical_engagements,opening_weekend_revenue,inf_adj_domestic_box_office
7/5/2019,Spider-Man: Far From Home,,,,,,,,,,,,
4/26/2019,Avengers: Endgame,,,,,,,,,,,,
3/8/2019,Captain Marvel,"152,000,000.00","153,433,423.00","377,027,296.00","1,040,450,712.00",124,,,"130,000,000","4,206","4,206","24,732.00","216,648,740.00"
7/6/2018,Ant-Man and the Wasp,"130,000,000.00","75,812,205.00","216,648,740.00","623,144,660.00",118,17,1,"300,000,000","4,474","4,474","34,406.00","678,815,482.00"
4/27/2018,Avengers: Infinity War,"300,000,000.00","257,698,183.00","678,815,482.00","2,048,797,682.00",156,20,3,"200,000,000","4,020","4,084","40,236.00","700,059,566.00"
2/16/2018,Black Panther,"200,000,000.00","202,003,951.00","700,059,566.00","1,348,258,224.00",120,25,5,"180,000,000","4,080","4,080","26,570.00","315,058,289.00"
11/3/2017,Thor: Ragnarok,"180,000,000.00","122,744,989.00","315,058,289.00","846,980,024.00",130,19,2,"175,000,000","4,348","4,348","34,848.00","334,201,140.00"
7/7/2017,Spider-Man: Homecoming,"175,000,000.00","117,027,503.00","334,201,140.00","880,166,350.00",133,20,1,"200,000,000","4,347","4,347","30,496.00","389,813,101.00"
5/5/2017,Guardians of the Galaxy Vol 2,"200,000,000.00","146,510,104.00","389,813,101.00","862,316,233.00",136,20,2,"165,000,000","3,882","3,882","24,582.00","232,641,920.00"
11/4/2016,Doctor Strange,"165,000,000.00","85,058,311.00","232,641,920.00","676,404,566.00",115,19,2,"250,000,000","4,226","4,226","25,150.00","408,084,349.00"
5/6/2016,Captain America: Civil War,"250,000,000.00","179,139,142.00","408,084,349.00","1,140,069,413.00",146,20,2,"130,000,000","3,856","3,868","25,916.00","180,202,163.00"
7/17/2015,Ant-Man,"130,000,000.00","57,225,526.00","180,202,163.00","518,858,449.00",117,22,2,"330,600,000","4,276","4,276","30,109.00","459,005,868.00"
5/1/2015,Avengers: Age of Ultron,"330,600,000.00","191,271,109.00","459,005,868.00","1,403,013,963.00",141,23,2,"170,000,000","4,080","4,088","37,350.00","333,172,112.00"
8/1/2014,Guardians of the Galaxy,"170,000,000.00","94,320,883.00","333,172,112.00","770,867,516.00",121,24,4,"170,000,000","3,938","3,938","27,560.00","259,746,958.00"
4/4/2014,Captain America: The Winter…,"170,000,000.00","95,023,721.00","259,746,958.00","714,401,889.00",135,19,3,"150,000,000","3,841","3,841","22,518.00","206,362,140.00"
11/8/2013,Thor: The Dark World,"150,000,000.00","85,737,841.00","206,362,140.00","644,602,516.00",111,23,2,"200,000,000","4,253","4,253","26,088.00","408,992,272.00"
5/3/2013,Iron Man 3,"200,000,000.00","174,144,585.00","408,992,272.00","1,215,392,272.00",130,19,2,"220,000,000","4,318","4,318","22,495.00","262,030,663.00"
5/4/2012,The Avengers,"225,000,000.00","207,438,708.00","623,279,547.00","1,517,935,897.00",143,22,3,"225,000,000","4,349","4,349","37,645.00","623,279,547.00"
7/22/2011,Captain America: The First …,"140,000,000.00","65,058,524.00","176,654,505.00","370,569,776.00",124,16,1,"140,000,000","3,715","3,715","21,349.00","176,654,505.00"
5/6/2011,Thor,"150,000,000.00","65,723,338.00","181,030,624.00","449,326,618.00",113,16,1,"150,000,000","3,955","3,963","22,538.00","181,030,624.00"
5/7/2010,Iron Man 2,"170,000,000.00","128,122,480.00","312,433,331.00","621,156,389.00",125,15,2,"170,000,000","4,380","4,390","27,079.00","312,433,331.00"
6/13/2008,The Incredible Hulk,"137,500,000.00","55,414,050.00","134,806,913.00","265,573,859.00",112,12,1,"137,500,000","3,505","3,508","17,582.00","134,806,913.00"
5/2/2008,Iron Man,"186,000,000.00","102,118,668.00","318,604,126.00","585,171,547.00",126,22,2,"186,000,000","4,105","4,154","33,088.00","318,604,126.00"